Company,# Jobs posted,Last Job posted,# Application Sent
CV Dua Malaikat (Stroberi Accessories),1,03/24/2022,0
OCBC Nisp,1,03/07/2022,0
PT Akur Pratama,1,03/23/2022,0
PT Arista Pratama Jaya,1,03/24/2022,0
PT Bank Supradanamas,1,03/11/2022,0
PT Itasof Pelagus Global,1,03/29/2022,0
PT Java Anugrah Teknindo,1,03/09/2022,0
PT Karya Utama Putra Mandiri,1,03/15/2022,0
PT Karya UtamaPutra Mandiri,1,03/30/2022,0
PT NAF Karya Indonesia,1,03/22/2022,0
PT Perintis Karya Sentosa,1,03/14/2022,1
PT Putera Mulya Terang Indah,1,03/18/2022,0
PT Star Parts Motor,1,03/22/2022,0
PT VIVO MOBILE INDONESIA,1,03/04/2022,0
PT. AYOE INDOTAMA TEXTILE,1,03/18/2022,1
PT. Kabayan Aishwarya Nusantara,1,03/04/2022,0
PT. Mahkota Permata Perdana ( Summarecon Bandung),1,03/29/2022,0
Sequoia School,1,03/16/2022,0
Uniqlo,1,03/30/2022,0
yayasan wilwatikta sriphala nusantara,1,03/22/2022,0
